sensor,type,uptime,v,a,w,kwh,hz,pf,time
main_power,json,2580,228.7,1.453,280.4,1.809,50,0.84,2020-12-02 09:05:52
main_power,json,2611,228.4,1.395,262.4,1.811,50,0.82,2020-12-02 09:06:23
main_power,json,2643,228.3,1.411,267,1.814,50,0.83,2020-12-02 09:06:54
main_power,json,2674,228,1.4,263,1.816,50,0.82,2020-12-02 09:07:25
main_power,json,2705,228.3,1.424,269,1.818,50,0.83,2020-12-02 09:07:57
main_power,json,2736,228.1,1.43,271.4,1.821,49.9,0.83,2020-12-02 09:08:28
main_power,json,2767,228.8,1.412,266.7,1.823,50,0.83,2020-12-02 09:08:59
main_power,json,2798,229,1.364,258.2,1.825,50,0.83,2020-12-02 09:09:30
main_power,json,2829,228.7,1.419,270.6,1.827,49.9,0.83,2020-12-02 09:10:01
main_power,json,2860,228.5,1.375,257.1,1.83,49.9,0.82,2020-12-02 09:10:32
main_power,json,2891,228.7,1.393,265.1,1.832,49.9,0.83,2020-12-02 09:11:03
main_power,json,2922,228.6,1.348,254.1,1.834,49.8,0.82,2020-12-02 09:11:34
main_power,json,2953,228.5,1.375,259.1,1.837,49.9,0.82,2020-12-02 09:12:05
main_power,json,2984,228.5,1.372,256.8,1.839,49.9,0.82,2020-12-02 09:12:36
main_power,json,3016,228.7,1.383,256.1,1.841,50,0.81,2020-12-02 09:13:07
main_power,json,3047,229.3,1.396,265.1,1.843,50,0.83,2020-12-02 09:13:38
main_power,json,3078,229.3,1.361,256.6,1.845,50,0.82,2020-12-02 09:14:10
main_power,json,3109,229.4,1.375,259.8,1.848,50,0.82,2020-12-02 09:14:41
main_power,json,3140,229.4,1.367,257.6,1.85,50,0.82,2020-12-02 09:15:12
main_power,json,3171,229.5,1.406,267.5,1.852,50,0.83,2020-12-02 09:15:43
main_power,json,3202,229,1.356,253.5,1.855,50,0.82,2020-12-02 09:16:14
main_power,json,3233,229,1.391,264.6,1.857,50,0.83,2020-12-02 09:16:45
main_power,json,3264,228.9,1.384,259.7,1.859,50,0.82,2020-12-02 09:17:16
main_power,json,3295,228.7,1.394,263.5,1.861,49.9,0.83,2020-12-02 09:17:47
main_power,json,3326,228.9,1.371,256,1.864,49.9,0.82,2020-12-02 09:18:18
main_power,json,3358,228.9,1.382,255.9,1.866,50,0.81,2020-12-02 09:18:49
main_power,json,3389,229.3,1.361,255.3,1.868,50,0.82,2020-12-02 09:19:20
main_power,json,3420,229.3,1.365,256.9,1.87,50,0.82,2020-12-02 09:19:52
main_power,json,3451,229.3,1.539,284.5,1.873,50,0.81,2020-12-02 09:20:23
main_power,json,3482,229.6,1.535,283,1.875,50.1,0.8,2020-12-02 09:20:54
main_power,json,3513,229.7,1.526,281,1.878,50.1,0.8,2020-12-02 09:21:25
main_power,json,3544,229.8,1.539,284.7,1.88,50.2,0.81,2020-12-02 09:21:56
main_power,json,3575,229.7,1.61,295.4,1.883,50.2,0.8,2020-12-02 09:22:27
main_power,json,3606,229.4,1.679,316,1.885,50.2,0.82,2020-12-02 09:22:58
main_power,json,3637,229.5,1.617,297.6,1.888,50.2,0.8,2020-12-02 09:23:29
main_power,json,3668,229.3,1.641,306.2,1.89,50.1,0.81,2020-12-02 09:24:00
main_power,json,3699,229.6,1.628,301,1.893,50.1,0.81,2020-12-02 09:24:31
main_power,json,3731,229.3,1.623,296.9,1.896,50.1,0.8,2020-12-02 09:25:02
main_power,json,3762,229.4,1.696,316,1.898,50,0.81,2020-12-02 09:25:33
main_power,json,3793,229.2,1.631,296.2,1.901,49.9,0.79,2020-12-02 09:26:05
main_power,json,3824,229.2,1.608,295.1,1.904,49.9,0.8,2020-12-02 09:26:36
main_power,json,3855,229.3,1.616,300.4,1.906,49.8,0.81,2020-12-02 09:27:07
main_power,json,3886,229.7,1.598,297.7,1.909,49.8,0.81,2020-12-02 09:27:38
main_power,json,3917,229.9,1.639,309.6,1.911,49.9,0.82,2020-12-02 09:28:09
main_power,json,3948,230,1.604,298.4,1.914,49.9,0.81,2020-12-02 09:28:40
main_power,json,3979,230.1,1.684,320.4,1.917,50,0.83,2020-12-02 09:29:11
main_power,json,4010,230.1,1.607,301.5,1.919,50,0.82,2020-12-02 09:29:42
main_power,json,4041,230.3,1.595,295.2,1.922,50,0.8,2020-12-02 09:30:13
main_power,json,4073,230.6,1.592,295.3,1.925,50,0.8,2020-12-02 09:30:44
main_power,json,4104,230.4,1.594,297.2,1.927,50,0.81,2020-12-02 09:31:15
main_power,json,4135,230.2,1.62,307.5,1.93,50,0.82,2020-12-02 09:31:47
main_power,json,4166,230.4,1.596,300,1.932,50.1,0.82,2020-12-02 09:32:18
main_power,json,4197,230.5,1.567,292,1.935,50.1,0.81,2020-12-02 09:32:49
main_power,json,4228,230.3,1.565,290,1.937,50,0.8,2020-12-02 09:33:20
main_power,json,4259,230.3,1.604,302.3,1.94,50.1,0.82,2020-12-02 09:33:51
main_power,json,4290,230.3,1.563,292.1,1.943,50.1,0.81,2020-12-02 09:34:22
main_power,json,4321,230.3,1.587,296.5,1.945,50.1,0.81,2020-12-02 09:34:53
main_power,json,4352,230.3,1.579,296.2,1.948,50.1,0.81,2020-12-02 09:35:24
main_power,json,4383,230.1,1.573,294.5,1.95,50.2,0.81,2020-12-02 09:35:55
main_power,json,4415,229.9,1.574,296.1,1.953,50.1,0.82,2020-12-02 09:36:26
main_power,json,4446,229.7,1.571,293.7,1.955,50,0.81,2020-12-02 09:36:57
main_power,json,4477,229.2,1.564,290.1,1.958,49.9,0.81,2020-12-02 09:37:29
main_power,json,4508,229.2,1.593,296.8,1.96,49.9,0.81,2020-12-02 09:38:00
main_power,json,4539,229.1,1.592,300.5,1.963,49.8,0.82,2020-12-02 09:38:31
main_power,json,4570,229.1,1.552,291.8,1.966,49.9,0.82,2020-12-02 09:39:02
main_power,json,4601,229.4,1.557,290.1,1.968,50,0.81,2020-12-02 09:39:33
main_power,json,4632,229.4,1.608,301.8,1.971,50,0.82,2020-12-02 09:40:04
main_power,json,4663,229.2,1.565,290.6,1.973,50,0.81,2020-12-02 09:40:35
main_power,json,4694,228.8,1.582,293.6,1.976,49.8,0.81,2020-12-02 09:41:06
main_power,json,4725,228.9,1.56,288.3,1.978,49.9,0.81,2020-12-02 09:41:37
main_power,json,4756,228.8,1.562,290.8,1.981,49.9,0.81,2020-12-02 09:42:08
main_power,json,4788,228.8,1.551,287.9,1.983,49.9,0.81,2020-12-02 09:42:39
main_power,json,4819,228.8,1.54,287.4,1.986,49.8,0.82,2020-12-02 09:43:10
main_power,json,4850,228.6,1.536,284.7,1.988,49.8,0.81,2020-12-02 09:43:42
main_power,json,4881,228.8,1.526,279.4,1.991,49.8,0.8,2020-12-02 09:44:13
main_power,json,4912,229,1.532,283.6,1.993,49.8,0.81,2020-12-02 09:44:44
main_power,json,4943,229.3,1.547,288.2,1.996,49.8,0.81,2020-12-02 09:45:15
main_power,json,4974,229.1,1.54,286.4,1.998,49.9,0.81,2020-12-02 09:45:46
main_power,json,5005,229.1,1.575,292.3,2.001,50,0.81,2020-12-02 09:46:17
main_power,json,5036,229.1,1.574,291.8,2.003,50,0.81,2020-12-02 09:46:48
main_power,json,5067,229.3,1.569,290.4,2.006,50,0.81,2020-12-02 09:47:19
main_power,json,5098,229.3,1.578,293.7,2.008,50,0.81,2020-12-02 09:47:50
main_power,json,5130,229.1,1.575,291.4,2.011,50,0.81,2020-12-02 09:48:21
main_power,json,5161,229.3,1.595,297.1,2.014,50,0.81,2020-12-02 09:48:52
main_power,json,5192,229.3,1.655,315.9,2.016,50,0.83,2020-12-02 09:49:24
main_power,json,5223,229.1,1.61,299.7,2.019,50,0.81,2020-12-02 09:49:55
main_power,json,5254,229.1,1.575,290.4,2.021,50,0.8,2020-12-02 09:50:26
main_power,json,5285,229,1.61,300.5,2.024,50,0.82,2020-12-02 09:50:57
main_power,json,5316,229.3,1.574,290.6,2.026,50,0.81,2020-12-02 09:51:28
main_power,json,5347,229.2,1.588,294.1,2.029,50,0.81,2020-12-02 09:51:59
main_power,json,5378,229,1.667,317.3,2.031,50.1,0.83,2020-12-02 09:52:30
main_power,json,5409,229.1,1.599,297.6,2.034,50.1,0.81,2020-12-02 09:53:01
main_power,json,5440,229.2,1.56,288.7,2.037,50,0.81,2020-12-02 09:53:32
main_power,json,5472,229.1,1.592,292.3,2.039,50,0.8,2020-12-02 09:54:03
main_power,json,5503,229,1.664,314.8,2.042,50.1,0.83,2020-12-02 09:54:34
main_power,json,5534,228.9,1.603,295.7,2.044,50,0.81,2020-12-02 09:55:06
main_power,json,5565,229.1,1.583,283.8,2.047,50,0.78,2020-12-02 09:55:37
main_power,json,5596,229.2,1.531,281.2,2.049,50.1,0.8,2020-12-02 09:56:08
main_power,json,5627,229.2,1.525,283.3,2.052,50,0.81,2020-12-02 09:56:39
main_power,json,5658,229.2,1.4,265.1,2.054,50,0.83,2020-12-02 09:57:10
main_power,json,5689,229.2,1.38,258,2.056,50.1,0.82,2020-12-02 09:57:41
main_power,json,5720,229.7,1.42,266.4,2.059,50.1,0.82,2020-12-02 09:58:12
main_power,json,5751,229.7,1.319,247.8,2.061,50,0.82,2020-12-02 09:58:43
main_power,json,5782,229.6,1.342,249.7,2.063,50.1,0.81,2020-12-02 09:59:14
main_power,json,5813,229.8,1.311,245.2,2.065,50.1,0.81,2020-12-02 09:59:45
main_power,json,5845,229.8,1.358,258.4,2.068,50.1,0.83,2020-12-02 10:00:16
main_power,json,5876,229.7,1.395,261.3,2.07,50.1,0.82,2020-12-02 10:00:47
main_power,json,5907,229.8,1.402,264.9,2.072,50.1,0.82,2020-12-02 10:01:19
main_power,json,5938,229.5,1.288,239.7,2.074,50.1,0.81,2020-12-02 10:01:50
main_power,json,5969,229.5,1.431,272.4,2.077,50.1,0.83,2020-12-02 10:02:21
main_power,json,6000,229.5,1.341,247.5,2.079,50.1,0.8,2020-12-02 10:02:52
main_power,json,6031,229.5,1.311,243.2,2.081,50.1,0.81,2020-12-02 10:03:23
main_power,json,6062,229.6,1.291,239.7,2.083,50.1,0.81,2020-12-02 10:03:54
main_power,json,6093,229.6,1.343,254.8,2.085,50.2,0.83,2020-12-02 10:04:25
main_power,json,6124,229.3,1.33,245.6,2.087,50.1,0.81,2020-12-02 10:04:56
main_power,json,6155,229.4,1.352,254.4,2.09,50.2,0.82,2020-12-02 10:05:27
main_power,json,6187,229.4,1.333,253.4,2.092,50.2,0.83,2020-12-02 10:05:58
main_power,json,6218,229.6,1.407,268.7,2.094,50.2,0.83,2020-12-02 10:06:29
main_power,json,6249,229.2,1.303,245.5,2.096,50.1,0.82,2020-12-02 10:07:01
main_power,json,6280,229.2,1.381,260,2.099,50,0.82,2020-12-02 10:07:32
main_power,json,6311,229.3,1.335,250.6,2.101,50,0.82,2020-12-02 10:08:03
main_power,json,6342,229.3,1.303,244,2.103,50.1,0.82,2020-12-02 10:08:34
main_power,json,6373,229.3,1.381,258.4,2.105,50.1,0.82,2020-12-02 10:09:05
main_power,json,6404,229.3,1.36,255.5,2.107,50.1,0.82,2020-12-02 10:09:36
main_power,json,6435,229.3,1.365,255.8,2.109,50.1,0.82,2020-12-02 10:10:07
main_power,json,6466,229.2,1.309,247.9,2.112,50.1,0.83,2020-12-02 10:10:38
main_power,json,6497,229,1.276,238.4,2.114,50,0.82,2020-12-02 10:11:09
main_power,json,6529,229,1.344,253.5,2.116,50,0.82,2020-12-02 10:11:40
main_power,json,6560,228.7,1.345,249.3,2.118,49.9,0.81,2020-12-02 10:12:11
main_power,json,6591,228.6,1.385,260.1,2.12,49.8,0.82,2020-12-02 10:12:43
main_power,json,6622,229,1.305,243.3,2.122,49.9,0.81,2020-12-02 10:13:14
main_power,json,6653,229.2,1.484,269.4,2.125,50,0.79,2020-12-02 10:13:45
main_power,json,6684,228.9,1.447,266.5,2.127,50.1,0.8,2020-12-02 10:14:16
main_power,json,6715,228.7,1.468,267,2.129,50,0.8,2020-12-02 10:14:50
main_power,json,6747,228.3,1.463,266.7,2.132,49.9,0.8,2020-12-02 10:15:49
main_power,json,6808,228.2,1.52,279.3,2.136,49.9,0.81,2020-12-02 10:16:20
main_power,json,6839,228.1,1.525,278.3,2.139,49.9,0.8,2020-12-02 10:16:51
main_power,json,6870,228.2,1.552,283.4,2.141,49.9,0.8,2020-12-02 10:17:22
main_power,json,6901,228.3,1.533,278.5,2.144,50,0.8,2020-12-02 10:17:53
main_power,json,6932,228.1,1.534,281.6,2.146,50,0.8,2020-12-02 10:18:24
main_power,json,6963,227.8,1.544,281,2.148,50,0.8,2020-12-02 10:18:55
main_power,json,6995,228.1,1.537,281.5,2.151,50,0.8,2020-12-02 10:19:26
main_power,json,7026,228.2,1.521,278.6,2.153,50.1,0.8,2020-12-02 10:19:57
main_power,json,7057,228.4,1.544,279.3,2.156,50,0.79,2020-12-02 10:20:29
main_power,json,7088,228.1,1.559,284,2.158,50,0.8,2020-12-02 10:21:00
main_power,json,7119,228.1,1.577,285.7,2.161,50,0.79,2020-12-02 10:21:31
main_power,json,7150,228,1.604,298.5,2.163,50,0.82,2020-12-02 10:22:02
main_power,json,7181,228.2,1.634,300.1,2.166,50,0.8,2020-12-02 10:22:33
main_power,json,7212,227.9,1.602,290.7,2.168,50.1,0.8,2020-12-02 10:23:04
main_power,json,7243,228.1,1.624,299.1,2.171,50,0.81,2020-12-02 10:23:35
main_power,json,7274,227.9,1.622,298.2,2.174,50,0.81,2020-12-02 10:24:06
main_power,json,7305,228.5,1.577,287.2,2.176,50.1,0.8,2020-12-02 10:24:37
main_power,json,7336,228.5,1.608,295,2.179,50.1,0.8,2020-12-02 10:25:08
main_power,json,7368,228.4,1.584,291.6,2.181,50.2,0.81,2020-12-02 10:25:39
main_power,json,7399,228.6,1.62,300.8,2.184,50.2,0.81,2020-12-02 10:26:10
main_power,json,7430,228.5,1.561,285.4,2.186,50.2,0.8,2020-12-02 10:26:42
main_power,json,7461,228.5,1.589,294.2,2.189,50.1,0.81,2020-12-02 10:27:13
main_power,json,7492,228.6,1.575,289,2.191,50.1,0.8,2020-12-02 10:27:44
main_power,json,7523,228.6,1.557,283.2,2.194,50.2,0.8,2020-12-02 10:28:15
main_power,json,7554,228.6,1.549,285.5,2.196,50.2,0.81,2020-12-02 10:28:46
main_power,json,7585,228.6,1.539,281.7,2.199,50.2,0.8,2020-12-02 10:29:17
main_power,json,7616,228.3,1.541,281.4,2.201,50.1,0.8,2020-12-02 10:29:48
main_power,json,7647,228.5,1.57,289.9,2.204,50,0.81,2020-12-02 10:30:19
main_power,json,7678,228.9,1.527,278.8,2.206,50.1,0.8,2020-12-02 10:30:50
main_power,json,7709,228.5,1.534,279.6,2.208,50.1,0.8,2020-12-02 10:31:21
main_power,json,7741,228.6,1.526,277,2.211,50,0.79,2020-12-02 10:31:52
main_power,json,7772,228.5,1.543,282.5,2.213,50.1,0.8,2020-12-02 10:32:23
main_power,json,7803,228.4,1.525,279.9,2.216,50,0.8,2020-12-02 10:32:55
main_power,json,7834,228.4,1.519,278.9,2.218,50.1,0.8,2020-12-02 10:33:26
main_power,json,7865,228.7,1.531,281.5,2.22,50.1,0.8,2020-12-02 10:33:57
main_power,json,7896,229,1.523,277.9,2.223,50.1,0.8,2020-12-02 10:34:28
main_power,json,7927,228.8,1.52,273.9,2.225,50.1,0.79,2020-12-02 10:34:59
main_power,json,7958,228.8,1.521,276.5,2.228,50.1,0.79,2020-12-02 10:35:30
main_power,json,7989,228.8,1.523,277.1,2.23,50.2,0.8,2020-12-02 10:36:01
main_power,json,8020,228.5,1.539,285.4,2.233,50.1,0.81,2020-12-02 10:36:32
main_power,json,8051,228.9,1.575,296.1,2.235,50.1,0.82,2020-12-02 10:37:03
main_power,json,8083,228.6,1.547,285.6,2.238,50.1,0.81,2020-12-02 10:37:34
main_power,json,8114,228.7,1.522,283.1,2.24,50.1,0.81,2020-12-02 10:38:05
main_power,json,8145,228.4,1.603,300.9,2.243,50.1,0.82,2020-12-02 10:38:37
main_power,json,8176,228.9,1.583,300.3,2.245,50.1,0.83,2020-12-02 10:39:08
main_power,json,8207,228.7,1.53,277.7,2.248,50.2,0.79,2020-12-02 10:39:39
main_power,json,8238,228.9,1.523,282,2.25,50.1,0.81,2020-12-02 10:40:10
main_power,json,8269,228.9,1.528,278.6,2.253,50.2,0.8,2020-12-02 10:40:41
main_power,json,8300,228.7,1.567,289.7,2.255,50.2,0.81,2020-12-02 10:41:12
main_power,json,8331,228.5,1.53,279.9,2.258,50.2,0.8,2020-12-02 10:41:43
main_power,json,8362,228.8,1.543,284.7,2.26,50.1,0.81,2020-12-02 10:42:14
main_power,json,8393,228.9,1.518,277.9,2.262,50.1,0.8,2020-12-02 10:42:45
main_power,json,8424,228.8,1.561,290.3,2.265,50.2,0.81,2020-12-02 10:43:16
main_power,json,8456,228.9,1.523,278.8,2.267,50.1,0.8,2020-12-02 10:43:47
main_power,json,8487,228.9,1.55,282.9,2.27,50.1,0.8,2020-12-02 10:44:18
main_power,json,8518,228.7,1.564,288.8,2.272,50.1,0.81,2020-12-02 10:44:49
main_power,json,8549,228.9,1.528,278.8,2.275,50.1,0.8,2020-12-02 10:45:21
main_power,json,8580,228.5,1.542,284.1,2.277,50.1,0.81,2020-12-02 10:45:52
main_power,json,8611,228.4,1.524,276.4,2.28,50,0.79,2020-12-02 10:46:23
main_power,json,8642,228.7,1.539,277.9,2.282,50.1,0.79,2020-12-02 10:46:54
main_power,json,8673,228.9,1.545,284.8,2.284,50,0.81,2020-12-02 10:47:25
main_power,json,8704,228.5,1.548,287.5,2.287,50,0.81,2020-12-02 10:47:56
main_power,json,8735,228.6,1.586,297.9,2.289,50,0.82,2020-12-02 10:48:27
main_power,json,8766,228.6,1.618,308.6,2.292,50,0.83,2020-12-02 10:48:58
main_power,json,8797,229,1.629,303.1,2.294,50,0.81,2020-12-02 10:49:29
main_power,json,8828,229.1,1.538,279.3,2.297,50.1,0.79,2020-12-02 10:50:00
main_power,json,8860,228.9,1.318,245.4,2.299,50,0.81,2020-12-02 10:50:31
main_power,json,8891,228.7,1.337,251.2,2.301,50,0.82,2020-12-02 10:51:02
main_power,json,8922,229.3,1.381,263.1,2.304,50,0.83,2020-12-02 10:51:34
main_power,json,8953,229.4,1.362,257.7,2.306,50.1,0.82,2020-12-02 10:52:05
main_power,json,8984,229.3,1.377,263.9,2.308,50.1,0.84,2020-12-02 10:52:36
main_power,json,9015,229.3,1.335,249.5,2.31,50,0.82,2020-12-02 10:53:07
main_power,json,9046,229.4,1.329,249.5,2.312,50,0.82,2020-12-02 10:53:38
main_power,json,9077,229.3,1.33,248,2.314,50,0.81,2020-12-02 10:54:09
main_power,json,9108,229.3,1.309,244.1,2.317,50,0.81,2020-12-02 10:54:40
main_power,json,9139,229.3,1.307,243.2,2.319,50,0.81,2020-12-02 10:55:11
main_power,json,9170,229.3,1.298,242.3,2.321,49.9,0.81,2020-12-02 10:55:42
